z_height,shape_ratios,convex_hull_areas,bounding_box_volumes,linearity,planarity,sphericity,anisotropy,eigentropy,omnivariance,eigenvalue_sum,varticality,average_width
0.3121984378735564,1.0,0.4651266249061746,0.08987700620326282,0.5777521756988991,0.7878062906986594,0.09020207701049972,0.9845979937475787,0.6803359013877933,0.12312371567034743,0.0,0.0003850839897553604,0.18173075589294538
0.214334954283935,0.27716140133223716,0.528023772773852,0.08899129470988404,0.5709337253579577,0.6760100675590506,0.09767847893921962,0.7908435732607688,0.5867146095457232,0.25103604631831494,0.0,0.0003851802984639246,0.22007418134008153
0.4824258885446527,0.5316501916988998,1.0,0.705291522329629,0.6019195477840745,0.6276058638622598,0.04616083327978568,0.8751398797891309,0.7658885803189716,0.17240117576838296,0.0,0.0,0.1582405333153371
0.4534803280021885,0.4681402353970215,1.0,0.7021778012909166,0.48790707202375805,0.5999325139225403,0.3722698412653263,0.6447480429721615,0.633350500826018,0.3586103010938991,0.0,0.0,0.1948876824116627
0.32529289254650273,0.29420237935985055,1.0,0.7510333904909743,0.4354728333280174,0.8600558784750729,0.05917310067096926,0.9084479599602608,0.8325683209293506,0.19338982071344224,0.0,0.0,0.1624662919065752
0.22122671372599242,0.9373056353031598,1.0,0.14211116853143022,0.45238992976675907,0.679132065286085,0.18106928187536947,0.7748444641680556,0.5969042101204279,0.2740600212832419,0.0,0.0,0.14071638460837851
0.08063401925916067,0.44200523787927554,0.8574746182788403,0.05161576856320212,0.5828384201098281,0.7863037111742561,0.0677384678385118,0.9218366692797971,0.7745445654032492,0.2057734668704006,0.0,0.0,0.0
0.2246726263096796,0.7831098801440146,1.0,0.626976361208778,0.4699725134441448,0.7291470202459142,0.1223984870138538,0.9300237947556856,0.5926538688610763,0.19114523639540412,0.0,0.0,0.22174430882140042
0.3638869294529108,0.7411336346487843,1.0,0.5442298766910924,0.5377898317860098,0.634991385548568,0.08070784048541842,0.48800809929958827,0.7087431803240756,0.22503752796273807,0.0,0.0,0.18087748099493436
0.4252239631215253,0.985811495760522,1.0,0.4438648106197031,0.47807471655619305,0.7058415081072581,0.14393353393626201,0.7371547210067378,0.7526328640763954,0.1565420008495228,0.0,0.0,0.2784441121914985
0.21364575862213447,0.6403473065259384,1.0,0.28304202710333937,0.5931281181149033,0.746223172524795,0.011009239331764719,0.9359446208778956,0.8452357529177864,0.0707025092457069,0.0,0.0,0.06509121888453329
0.4245348331850405,0.5475519192767139,1.0,0.8823494926689024,0.42911299202151043,0.694125281816406,0.0056289491793656875,0.8541665194601827,0.9784729840838313,0.10670013966896037,0.0,0.0,0.20251379886882376
0.263955891740546,0.306682409919006,0.4970967020491353,0.07569442474751477,0.5867951579742565,0.7072011722735471,0.21227404016865054,0.8782177219414891,0.640057672477055,0.23943353698897035,0.0,0.0,0.2290362775046027
0.369400363296683,0.4043029654116211,1.0,0.5578910541068195,0.5516799143783658,0.7120657322376106,0.03377656596254706,0.9386025436613351,0.7030216605517677,0.2190177184948256,0.0,0.0,0.3410219650871589
0.29841490255811143,0.41701734736964435,1.0,0.4424242043411014,0.5679929619073781,0.7932290329518641,0.08914465523787374,0.9755770040120808,0.7297610965139397,0.04629353136192551,0.0,0.0,0.19207126646221032
0.6257753163647,0.375374853253289,1.0,1.0,0.5185721328733043,0.7045419057992773,0.026048395823130146,0.9090689131221159,0.7936209775032821,0.22353695789304973,0.0,0.0,0.17850397583487693
